,title,book_id,grade,syllabus,subject,content_id,page_no,page_id,index_chapter_ids,ocr_data_url,image_url,zone_id,order,category_type,annotation_type,annotation_id,actual_chapter_id,actual_subtopic_id,zone_text
71637,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,151,1f532b96934740f3e5335fc028f80fd3,22292,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-1f532b96934740f3e5335fc028f80fd3.json?generation=1573029260902558&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.1f532b96934740f3e5335fc028f80fd3.preview.jpg?generation=1573029253022178&alt=media,191,0.0,lesson,concept,742,22292,22966.0,and the input is called the useful energy . One of the characteristics which a fuel must possess is that the output of the fuel should be greater than the input . While searching for a good fuel we must ask ourselves the following questions : ( i ) Does the fuel produce enough heat ? ( ii ) Is its output greater than its input ? ( iii ) Does it produce a lot of smoke ? ( iv ) Is it easily available ? ( v ) Is it economical ?
348389,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,67,9749d550938302f32d584f8ab82e52ff,82005,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-9749d550938302f32d584f8ab82e52ff.json?generation=1574431832415643&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.9749d550938302f32d584f8ab82e52ff.preview.jpg?generation=1574431817148542&alt=media,a168,9.0,lesson,concept,32288,82005,82011.0,The line along which the two refracting faces meet is called refracting edge of the prism . The angle between the two refracting faces is called the angle of prism and is denoted by A . The section DBC of the prism is known as principal section .
71315,Foundation Science Physics,6295202553659392,Standard X,CBSE,Physics,K-AO-103-130-6PK-19,61,1f32a118bfd76bf033ae04e703fa4e11,82005,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-1f32a118bfd76bf033ae04e703fa4e11.json?generation=1573028995087816&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.1f32a118bfd76bf033ae04e703fa4e11.preview.jpg?generation=1573028987481566&alt=media,a147,3.0,lesson,concept,32289,82005,82574.0,"You can see the rainbow effect at fountains , water sprinklers , waterfalls , and so on . In all these cases , light is dispersed by the droplets of water in the spray . To see the effect , stand with the sun behind you when it is low in the sky ."
96094,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,16,2a10db3b4b475bf465289405b0b5b1c9,22250,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-2a10db3b4b475bf465289405b0b5b1c9.json?generation=1574431820627454&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.2a10db3b4b475bf465289405b0b5b1c9.preview.jpg?generation=1574431812166327&alt=media,14,0.0,lesson,concept,271,22250,22590.0,""" В Spherical Mirrors Spherical mirrors are the part of spherical reflecting surfaces . They are made from hollow glass spheres . If a portion of the hollow sphere is cut along a plane and silvered , it serves as a spherical mirror . If the portion APB as shown in figure , is silvered such that the depressed surface B becomes the reflecting surface then it is called concave spherical mirror . Concave mirror Convex mirror On the other hand , if the silvering is done so that the surface bulging outwards serves as the reflecting surface , then it is called convex spherical mirror ."
375540,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,62,a33771b0c225a1194500ebe294c221dd,82005,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-a33771b0c225a1194500ebe294c221dd.json?generation=1574431820761846&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.a33771b0c225a1194500ebe294c221dd.preview.jpg?generation=1574431810166381&alt=media,a128,2.0,lesson,concept,32278,82005,82009.0,"Blind spot : The point where optic nerve enters the eye ball is called blind spot . It has no nerve endings . It is the area on the retina which does not have light sensitive cells ( rods and cones ) . So if the image is formed on this part , then no signal is sent to the brain . As a result object is not visible to the eye ."
411472,Foundation Science Physics,6295202553659392,Standard X,CBSE,Physics,K-AO-103-130-6PK-19,122,b31266e8e14a841fb4f6cfdecbb11eda,22292,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-b31266e8e14a841fb4f6cfdecbb11eda.json?generation=1573029196529539&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.b31266e8e14a841fb4f6cfdecbb11eda.preview.jpg?generation=1573029189636110&alt=media,a41,0.0,lesson,concept,751,22292,22970.0,"Charcoal is a better fuel than wood ( a ) When the same mass of charcoal and wood are burnt , charcoal produces almost twice the heat produced by wood . So , its energy - conversion efficiency is better than that of wood . ( b ) Charcoal produces much less smoke than wood . ( c ) Charcoal is a compact fuel that is more convenient to handle than wood ."
396992,Science for Tenth Class: Physics,5417782611017728,Standard X,CBSE,Physics,K-AO-147-139-ZQG-16,47,ac792ec381bd93e52d0ed7af25aed13c,22237,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-ac792ec381bd93e52d0ed7af25aed13c.json?generation=1571090378487234&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-10-14.ac792ec381bd93e52d0ed7af25aed13c.preview.jpg?generation=1571090371657093&alt=media,a243,3.0,question,concept,560,22237,45948.0,3 . State the law of combination of resistances in parallel .
529240,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,73,e66bb47aaf7dd1a9812b784f35247d69,82005,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-e66bb47aaf7dd1a9812b784f35247d69.json?generation=1574431817780056&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.e66bb47aaf7dd1a9812b784f35247d69.preview.jpg?generation=1574431811074999&alt=media,28,5.0,lesson,concept,32294,82005,82011.0,"DO > > Coloured television sets and computer monitors produce the entire range of colours by using red , green and blue phosphors . YOU KNOW"
447074,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,143,c293290cfef5779059e9a6c6731ef574,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-c293290cfef5779059e9a6c6731ef574.json?generation=1574431835944507&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.c293290cfef5779059e9a6c6731ef574.preview.jpg?generation=1574431827012020&alt=media,237,7.0,lesson,concept,733,22238,22963.0,"“ Stretch the right hand such that the first finger , the central finger and the thumb are mutually perpendicular to each other . If the first finger points along the direction of the field ( magnetic field ) and the thumb points along the direction of motion of the conductor , then the direction of induced current is given by the direction of the central finger ” . . Note : Fleming ' s Right hand rule is also known as Dynamo Rule . Aid to memory : Thumb represents Motion , First finger represents Magnetic Field and Central finger represents Current ( induced ) ."
555873,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,175,f27df4226b30c16944e9ea69b9a4a47e,22292,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-f27df4226b30c16944e9ea69b9a4a47e.json?generation=1573029337681983&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.f27df4226b30c16944e9ea69b9a4a47e.preview.jpg?generation=1573029331175427&alt=media,308,2.0,lesson,concept,766,22292,22975.0,A controlled fission reaction is initiated in an arrangement called a nuclear reactor . It is a chain reaction . The energy of this reaction is used to heat water and produce steam . This steam is made to run turbines and hence generators to produce electricity
241126,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,17,67b63726efb2840f6b9ecb040c35c023,22237,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-67b63726efb2840f6b9ecb040c35c023.json?generation=1573028803896635&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.67b63726efb2840f6b9ecb040c35c023.preview.jpg?generation=1573028793648890&alt=media,a13,4.0,lesson,concept,552,22237,45947.0,"Battery A Ammeter Rheostat ( ) Lamp 00000000000000000000000 000000000000000000000 0000000000000000000000000 LOC . 6000 0000000000000 00000000000000 Voltmeter Fig 1 . 8 : A simple electric circuit , consisting of a battery , a key , a rheostat , a lamp , an ammeter and a voltmeter ."
273590,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,148,761ad22d59131384120b2f1c3278fe64,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-761ad22d59131384120b2f1c3278fe64.json?generation=1574431834547583&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.761ad22d59131384120b2f1c3278fe64.preview.jpg?generation=1574431826946124&alt=media,a429,4.0,lesson,concept,738,22238,22964.0,"A fuse used must be of current capacity ( also called current rating ) less than the maximum current which a circuit or an appliance can withstand . A fuse of current capacity of 5 A is put in a line meant to supply power to lights ( i . e . , bulbs ) and fans whereas a fuse of 15 A current capacity is meant for a line which operates an electric heater or a geyser , etc ."
554540,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,133,f1ee55fcf48ca2af1d8038da59f1b9dc,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-f1ee55fcf48ca2af1d8038da59f1b9dc.json?generation=1574431831482110&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.f1ee55fcf48ca2af1d8038da59f1b9dc.preview.jpg?generation=1574431824321350&alt=media,a341,3.0,lesson,concept,713,22238,22565.0,"Take a thick straight conductor ( copper wire ) XY and pass it through the centre O of a thick cardboard . Connect it through the rheostat Rn , a key K and an ammeter A so that the current flows from Y to X as shown in figure ( a ) . When we sprinkle some iron filings on the cardboard , these iron filings arrange themselves in concentric circles around 0 , when the cardboard is gentle tapped . These concentric circles represent the magnetic field lines . This shows that there exists a magnetic field around a straight current carrying conductor and it is in the form of concentric circular field lines with the conductor at the centre . In other words to know the direction of the magnetic field , we plot the field lines with the help of a compass needle . The north pole of the compass points in the direction of the field at any point . The direction of these field lines is anticlockwise as shown figure ( b ) ."
6221,Science for Tenth Class: Physics,5417782611017728,Standard X,CBSE,Physics,K-AO-147-139-ZQG-16,307,02a4023d2447be3bab916a0b0e135669,82005,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-02a4023d2447be3bab916a0b0e135669.json?generation=1571090868254477&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-10-14.02a4023d2447be3bab916a0b0e135669.preview.jpg?generation=1575904023309870&alt=media,214,6.0,question,concept,32293,82005,82011.0,4 . What colour does the sky appear to an astronaut ?
273586,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,148,761ad22d59131384120b2f1c3278fe64,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-761ad22d59131384120b2f1c3278fe64.json?generation=1574431834547583&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.761ad22d59131384120b2f1c3278fe64.preview.jpg?generation=1574431826946124&alt=media,a422,0.0,lesson,concept,738,22238,22964.0,Electric Fuse : a Safety Device An electric fuse is a device which is used in series to limit the current in an electric circuit so that it easily melts due to overheating when excessive current passes through it . A fuse is a wire of a material with very low melting point .
555871,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,175,f27df4226b30c16944e9ea69b9a4a47e,22292,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-f27df4226b30c16944e9ea69b9a4a47e.json?generation=1573029337681983&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.f27df4226b30c16944e9ea69b9a4a47e.preview.jpg?generation=1573029331175427&alt=media,305,0.0,lesson,concept,766,22292,22975.0,"weight atoms , barium - 141 and krypton - 92 with the emission of three fast moving neutrons and a tremendous amount of energy ( Fig 3 . 25 ) . The nuclear equation for the fission reaction is given below : 23U + on → BU * → Ba + % Kr + 3 ; n + energy The energy released per fission is about 200 MeV . This reaction is one of the many possible reactions that can occur when uranium fissions ."
246875,Science for Tenth Class: Physics,5417782611017728,Standard X,CBSE,Physics,K-AO-147-139-ZQG-16,89,6a16a0e55343ced051a1a18bfb9a2cba,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-6a16a0e55343ced051a1a18bfb9a2cba.json?generation=1571090458856583&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-10-14.6a16a0e55343ced051a1a18bfb9a2cba.preview.jpg?generation=1571090451073407&alt=media,64,4.0,lesson,concept,725,22238,22779.0,"( S - pole ) . So , if a current - carrying solenoid is suspended freely , it will come to rest pointing in the north and south directions ( just like a freely suspended bar magnet ) . We can determine the north and south poles of a current - carrying solenoid by using a bar magnet . This can be done as follows : We bring the north pole of a bar magnet near both the ends of a current - carrying solenoid . The end of solenoid which will be repelled by the north pole of bar magnet will be its north pole , and the end of solenoid which will be attracted by the north pole of bar magnet will be its south pole ."
232417,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,221,63da33b879d2a3576258d1443348e0fc,22250,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-63da33b879d2a3576258d1443348e0fc.json?generation=1573029457928978&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.63da33b879d2a3576258d1443348e0fc.preview.jpg?generation=1573029452082475&alt=media,58,4.0,diagram,concept,282,22250,22591.0,DITT CORO TER R ESTRE Fig 4 . 35 ( a ) : A huge concave mirror .
504459,Foundation Science Physics,6295202553659392,Standard X,CBSE,Physics,K-AO-103-130-6PK-19,19,dbcb1bb6c1c5446668faed235ce0ab42,22250,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-dbcb1bb6c1c5446668faed235ce0ab42.json?generation=1573028811247335&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.dbcb1bb6c1c5446668faed235ce0ab42.preview.jpg?generation=1573028800433290&alt=media,a1446,2.0,diagram,concept,277,22250,22590.0,Concave Screen mirror Fig . 1 . 17 PROGRAM
77251,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,107,21c17d4cb6286b0ee839cc9e40fed6dc,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-21c17d4cb6286b0ee839cc9e40fed6dc.json?generation=1573029133695370&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.21c17d4cb6286b0ee839cc9e40fed6dc.preview.jpg?generation=1573029125705475&alt=media,149,0.0,lesson,concept,734,22238,22963.0,"( ii ) Strong field magnets : Two concave poles ( NS ) of permanent magnets between which the armature coil is rotated . ( iii ) Slip - rings : The two ends of the coil are welded to two different circular metallic rings R , and Rg . These rings are called the slip - rings . The function of the slip - rings is to ensure the flow of current flowing through the coil after each half rotation . ( iv ) Brushes : Two carbon brushes B , and B , make a contact with the slip rings R , and R2 ."
472187,Foundation Science Physics,6295202553659392,Standard X,CBSE,Physics,K-AO-103-130-6PK-19,75,cd7ba6fc78a88a89b7ae5f314148ecfb,22237,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-cd7ba6fc78a88a89b7ae5f314148ecfb.json?generation=1573029046935290&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.cd7ba6fc78a88a89b7ae5f314148ecfb.preview.jpg?generation=1573029039657917&alt=media,108,0.0,lesson,concept,560,22237,45948.0,"I @ Fig . 4 . 18 You will find that the current i gets divided into the branches such that S i = 1 , + 12 + iz . So , the total current flowing into the combination is equal to the sum of the currents passing through the individual resistors . Note that in the activity all the resistors are connected between the common points A and B . The potential difference between the points is VA - VB . This potential difference exists across each resistor . If resistors are connected in such a way that the same potential difference gets applied to each Der er en del of them , they are said to be connected in parallel ."
529241,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,73,e66bb47aaf7dd1a9812b784f35247d69,82005,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-e66bb47aaf7dd1a9812b784f35247d69.json?generation=1574431817780056&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.e66bb47aaf7dd1a9812b784f35247d69.preview.jpg?generation=1574431811074999&alt=media,88,3.0,lesson,concept,32294,82005,82011.0,"Tyndall Effect The phenomenon of scattering of light by dust , smoke and tiny water droplets suspended in air is known as Tyndall effect ."
